Datum,BundeslandID,Bevölkerung,Name,Auslieferungen,AuslieferungenPro100,Bestellungen,BestellungenPro100
2021-01-14T23:59:59+01:00,0,NA,Bundesverwaltung,0,NA,0,NA
2021-01-14T23:59:59+01:00,1,299235,Burgenland,3095,1.03430414222935,5370,1.79457616923154
2021-01-14T23:59:59+01:00,2,566166,Kärnten,6310,1.11451411776758,10105,1.78481222821575
2021-01-14T23:59:59+01:00,3,1708140,Niederösterreich,14992,0.8776798154718,25475,1.49138829369958
2021-01-14T23:59:59+01:00,4,1512226,Oberösterreich,9575,0.633172554895895,24380,1.61219288651299
2021-01-14T23:59:59+01:00,5,564293,Salzburg,5865,1.03935366910453,10915,1.93427882323545
2021-01-14T23:59:59+01:00,6,1256890,Steiermark,13465,1.07129502183962,29740,2.36615773854514
2021-01-14T23:59:59+01:00,7,766492,Tirol,8080,1.05415320707848,12540,1.63602490306487
2021-01-14T23:59:59+01:00,8,403203,Vorarlberg,8725,2.16392239145046,10360,2.56942532669648
2021-01-14T23:59:59+01:00,9,1951354,Wien,13315,0.682346719252376,39020,1.99963717500771
2021-01-14T23:59:59+01:00,10,9027999,Österreich,83422,0.924036433765666,167220,1.85223768855092
2021-01-15T23:59:59+01:00,0,NA,Bundesverwaltung,0,NA,0,NA
2021-01-15T23:59:59+01:00,1,299235,Burgenland,3095,1.03430414222935,5370,1.79457616923154
2021-01-15T23:59:59+01:00,2,566166,Kärnten,7810,1.3794540823716,10465,1.84839781972072
2021-01-15T23:59:59+01:00,3,1708140,Niederösterreich,15212,0.890559321835447,27214,1.59319493718313
2021-01-15T23:59:59+01:00,4,1512226,Oberösterreich,9675,0.639785323093241,35622,2.35560028725865
2021-01-15T23:59:59+01:00,5,564293,Salzburg,6205,1.09960605571928,10915,1.93427882323545
2021-01-15T23:59:59+01:00,6,1256890,Steiermark,13815,1.0991415318763,29635,2.35780378553414
2021-01-15T23:59:59+01:00,7,766492,Tirol,8305,1.08350772088945,13198,1.72187054789874
2021-01-15T23:59:59+01:00,8,403203,Vorarlberg,8915,2.21104505670841,10360,2.56942532669648
2021-01-15T23:59:59+01:00,9,1951354,Wien,13315,0.682346719252376,40232,2.0617478940264
2021-01-15T23:59:59+01:00,10,9027999,Österreich,86347,0.956435639835583,182326,2.01956158834311
2021-01-16T23:59:59+01:00,0,NA,Bundesverwaltung,0,NA,0,NA
2021-01-16T23:59:59+01:00,1,299235,Burgenland,3450,1.15293999699233,5370,1.79457616923154
2021-01-16T23:59:59+01:00,2,566166,Kärnten,7810,1.3794540823716,10465,1.84839781972072
2021-01-16T23:59:59+01:00,3,1708140,Niederösterreich,15937,0.933003149624738,27214,1.59319493718313
2021-01-16T23:59:59+01:00,4,1512226,Oberösterreich,10725,0.709219389165376,35214,2.32862019301348
2021-01-16T23:59:59+01:00,5,564293,Salzburg,6585,1.16694695840636,10915,1.93427882323545
2021-01-16T23:59:59+01:00,6,1256890,Steiermark,14510,1.15443674466342,29635,2.35780378553414
2021-01-16T23:59:59+01:00,7,766492,Tirol,8305,1.08350772088945,13198,1.72187054789874
2021-01-16T23:59:59+01:00,8,403203,Vorarlberg,9425,2.33753221082184,10438,2.588770420855
2021-01-16T23:59:59+01:00,9,1951354,Wien,25195,1.29115475715836,40207,2.06046673233047
2021-01-16T23:59:59+01:00,10,9027999,Österreich,101942,1.12917602228356,181971,2.01562937700813
2021-01-17T23:59:59+01:00,0,NA,Bundesverwaltung,0,NA,0,NA
2021-01-17T23:59:59+01:00,1,299235,Burgenland,3450,1.15293999699233,5370,1.79457616923154
2021-01-17T23:59:59+01:00,2,566166,Kärnten,7810,1.3794540823716,10465,1.84839781972072
2021-01-17T23:59:59+01:00,3,1708140,Niederösterreich,15937,0.933003149624738,27214,1.59319493718313
2021-01-17T23:59:59+01:00,4,1512226,Oberösterreich,10725,0.709219389165376,36954,2.4436823596473
2021-01-17T23:59:59+01:00,5,564293,Salzburg,6585,1.16694695840636,10915,1.93427882323545
2021-01-17T23:59:59+01:00,6,1256890,Steiermark,14510,1.15443674466342,29635,2.35780378553414
2021-01-17T23:59:59+01:00,7,766492,Tirol,8305,1.08350772088945,13198,1.72187054789874
2021-01-17T23:59:59+01:00,8,403203,Vorarlberg,9425,2.33753221082184,10438,2.588770420855
2021-01-17T23:59:59+01:00,9,1951354,Wien,25195,1.29115475715836,40207,2.06046673233047
2021-01-17T23:59:59+01:00,10,9027999,Österreich,101942,1.12917602228356,183711,2.03490275087536
2021-01-18T23:59:59+01:00,0,NA,Bundesverwaltung,0,NA,0,NA
2021-01-18T23:59:59+01:00,1,299235,Burgenland,4125,1.37851521379518,5898,1.97102611659732
2021-01-18T23:59:59+01:00,2,566166,Kärnten,10050,1.77509776284694,10465,1.84839781972072
2021-01-18T23:59:59+01:00,3,1708140,Niederösterreich,20745,1.21447890688117,27262,1.59600501129884
2021-01-18T23:59:59+01:00,4,1512226,Oberösterreich,19781,1.30807167711704,35622,2.35560028725865
2021-01-18T23:59:59+01:00,5,564293,Salzburg,8635,1.53023340711297,10915,1.93427882323545
2021-01-18T23:59:59+01:00,6,1256890,Steiermark,22615,1.79928235565563,29683,2.36162273548202
2021-01-18T23:59:59+01:00,7,766492,Tirol,11788,1.53791559468331,13198,1.72187054789874
2021-01-18T23:59:59+01:00,8,403203,Vorarlberg,9765,2.4218569802308,10438,2.588770420855
2021-01-18T23:59:59+01:00,9,1951354,Wien,32190,1.64962379967961,41893,2.146868277104
2021-01-18T23:59:59+01:00,10,9027999,Österreich,139694,1.54734177529262,184689,2.04573571618694
2021-01-19T23:59:59+01:00,0,NA,Bundesverwaltung,0,NA,0,NA
2021-01-19T23:59:59+01:00,1,299235,Burgenland,4410,1.47375808311194,5898,1.97102611659732
2021-01-19T23:59:59+01:00,2,566166,Kärnten,10050,1.77509776284694,12985,2.29349696025547
2021-01-19T23:59:59+01:00,3,1708140,Niederösterreich,23797,1.3931527860714,27262,1.59600501129884
2021-01-19T23:59:59+01:00,4,1512226,Oberösterreich,20269,1.34034198592009,36258,2.39765749299377
2021-01-19T23:59:59+01:00,5,564293,Salzburg,9445,1.67377585757753,12235,2.16819985362214
2021-01-19T23:59:59+01:00,6,1256890,Steiermark,24735,1.96795264502065,29638,2.35804246990588
2021-01-19T23:59:59+01:00,7,766492,Tirol,12408,1.61880358829577,13498,1.7610098996467
2021-01-19T23:59:59+01:00,8,403203,Vorarlberg,9895,2.45409880382834,10438,2.588770420855
2021-01-19T23:59:59+01:00,9,1951354,Wien,35411,1.81468867258324,45949,2.3547239506517
2021-01-19T23:59:59+01:00,10,9027999,Österreich,150420,1.6661499408673,193476,2.14306625421647
2021-01-20T23:59:59+01:00,0,NA,Bundesverwaltung,0,NA,0,NA
2021-01-20T23:59:59+01:00,1,299235,Burgenland,4725,1.57902651761993,5898,1.97102611659732
2021-01-20T23:59:59+01:00,2,566166,Kärnten,10050,1.77509776284694,12985,2.29349696025547
2021-01-20T23:59:59+01:00,3,1708140,Niederösterreich,24723,1.4473637992202,27298,1.59811256688562
2021-01-20T23:59:59+01:00,4,1512226,Oberösterreich,26076,1.72434543513999,35834,2.36961935583702
2021-01-20T23:59:59+01:00,5,564293,Salzburg,10050,1.78098966317144,14166,2.51039796701359
2021-01-20T23:59:59+01:00,6,1256890,Steiermark,25445,2.02444127966648,33269,2.6469301211721
2021-01-20T23:59:59+01:00,7,766492,Tirol,12408,1.61880358829577,13498,1.7610098996467
2021-01-20T23:59:59+01:00,8,403203,Vorarlberg,9970,2.47269985590385,10438,2.588770420855
2021-01-20T23:59:59+01:00,9,1951354,Wien,38235,1.95940869775551,49465,2.53490653156731
2021-01-20T23:59:59+01:00,10,9027999,Österreich,161682,1.79089519172521,202166,2.23932235703615
2021-01-21T23:59:59+01:00,0,NA,Bundesverwaltung,0,NA,0,NA
2021-01-21T23:59:59+01:00,1,299235,Burgenland,4851,1.62113389142313,5946,1.9870670209033
