Datum,BundeslandID,Name,TestungenApotheken,TestungenApothekenPCR,TestungenApothekenAntigen,TestungenBetriebe
2021-05-09,4,Oberösterreich,432004,NA,432004,387802
2021-05-09,5,Salzburg,311348,NA,311348,131274
2021-05-09,6,Steiermark,675251,NA,675251,496548
2021-05-09,7,Tirol,386361,NA,386361,92572
2021-05-09,8,Vorarlberg,314813,NA,314813,78266
2021-05-09,9,Wien,1258668,NA,1258668,446201
2021-05-09,10,Österreich,4386705,NA,4386705,2575010
2021-05-10,1,Burgenland,290527,NA,290527,207887
2021-05-10,2,Kärnten,221979,NA,221979,100845
2021-05-10,3,Niederösterreich,497368,NA,497368,638464
2021-05-10,4,Oberösterreich,432351,NA,432351,389838
2021-05-10,5,Salzburg,311710,NA,311710,131754
2021-05-10,6,Steiermark,676374,NA,676374,499620
2021-05-10,7,Tirol,386691,NA,386691,92977
2021-05-10,8,Vorarlberg,321439,NA,321439,78697
2021-05-10,9,Wien,1259393,NA,1259393,447038
2021-05-10,10,Österreich,4397832,NA,4397832,2587120
2021-05-11,1,Burgenland,298894,NA,298894,211419
2021-05-11,2,Kärnten,228326,NA,228326,103831
2021-05-11,3,Niederösterreich,513111,NA,513111,654236
2021-05-11,4,Oberösterreich,445228,NA,445228,402277
2021-05-11,5,Salzburg,320541,NA,320541,136206
2021-05-11,6,Steiermark,695818,NA,695818,513765
2021-05-11,7,Tirol,394480,NA,394480,94327
2021-05-11,8,Vorarlberg,331799,NA,331799,80747
2021-05-11,9,Wien,1301867,NA,1301867,459443
2021-05-11,10,Österreich,4530064,NA,4530064,2656251
2021-05-12,1,Burgenland,303944,NA,303944,213454
2021-05-12,2,Kärnten,233384,NA,233384,105831
2021-05-12,3,Niederösterreich,524503,NA,524503,665057
2021-05-12,4,Oberösterreich,454925,NA,454925,410284
2021-05-12,5,Salzburg,327123,NA,327123,139946
2021-05-12,6,Steiermark,710651,NA,710651,543495
2021-05-12,7,Tirol,400817,NA,400817,96062
2021-05-12,8,Vorarlberg,339328,NA,339328,82573
2021-05-12,9,Wien,1335613,NA,1335613,471187
2021-05-12,10,Österreich,4630288,NA,4630288,2727889
2021-05-13,1,Burgenland,310325,NA,310325,220276
2021-05-13,2,Kärnten,239092,NA,239092,108537
2021-05-13,3,Niederösterreich,536482,NA,536482,677896
2021-05-13,4,Oberösterreich,465322,NA,465322,420177
2021-05-13,5,Salzburg,334990,NA,334990,145581
2021-05-13,6,Steiermark,727364,NA,727364,557631
2021-05-13,7,Tirol,408462,NA,408462,97521
2021-05-13,8,Vorarlberg,349732,NA,349732,89628
2021-05-13,9,Wien,1369679,NA,1369679,483964
2021-05-13,10,Österreich,4741448,NA,4741448,2801211
2021-05-14,1,Burgenland,310572,NA,310572,220706
2021-05-14,2,Kärnten,239324,NA,239324,108731
2021-05-14,3,Niederösterreich,537267,NA,537267,679471
2021-05-14,4,Oberösterreich,465555,NA,465555,421003
2021-05-14,5,Salzburg,335384,NA,335384,145792
2021-05-14,6,Steiermark,728128,NA,728128,559170
2021-05-14,7,Tirol,408727,NA,408727,97735
2021-05-14,8,Vorarlberg,354658,NA,354658,89772
2021-05-14,9,Wien,1370190,NA,1370190,484784
2021-05-14,10,Österreich,4749805,NA,4749805,2807164
2021-05-15,1,Burgenland,317606,NA,317606,236824
2021-05-15,2,Kärnten,245370,NA,245370,110258
2021-05-15,3,Niederösterreich,551628,NA,551628,689516
2021-05-15,4,Oberösterreich,475251,NA,475251,425999
2021-05-15,5,Salzburg,342798,NA,342798,147777
2021-05-15,6,Steiermark,744010,NA,744010,578229
2021-05-15,7,Tirol,417132,NA,417132,98881
2021-05-15,8,Vorarlberg,370895,NA,370895,91588
2021-05-15,9,Wien,1404886,NA,1404886,505093
2021-05-15,10,Österreich,4869576,NA,4869576,2884165
2021-05-16,1,Burgenland,319607,NA,319607,238489
2021-05-16,2,Kärnten,247382,NA,247382,110336
2021-05-16,3,Niederösterreich,556463,NA,556463,692787
2021-05-16,4,Oberösterreich,477968,NA,477968,426365
2021-05-16,5,Salzburg,345506,NA,345506,147865
2021-05-16,6,Steiermark,748537,NA,748537,578852
2021-05-16,7,Tirol,419859,NA,419859,99021
2021-05-16,8,Vorarlberg,381068,NA,381068,91754
2021-05-16,9,Wien,1415776,NA,1415776,516462
2021-05-16,10,Österreich,4912166,NA,4912166,2901931
2021-05-17,1,Burgenland,319987,NA,319987,239566
2021-05-17,2,Kärnten,247807,NA,247807,110706
2021-05-17,3,Niederösterreich,557467,NA,557467,696702
2021-05-17,4,Oberösterreich,478467,NA,478467,428556
2021-05-17,5,Salzburg,345802,NA,345802,148501
2021-05-17,6,Steiermark,749655,NA,749655,581877
2021-05-17,7,Tirol,420270,NA,420270,99367
2021-05-17,8,Vorarlberg,385338,NA,385338,92017
2021-05-17,9,Wien,1416478,NA,1416478,542707
2021-05-17,10,Österreich,4921271,NA,4921271,2939999
2021-05-18,1,Burgenland,328000,NA,328000,243869
2021-05-18,2,Kärnten,254192,NA,254192,113746
2021-05-18,3,Niederösterreich,571634,NA,571634,711756
2021-05-18,4,Oberösterreich,490924,NA,490924,442513
2021-05-18,5,Salzburg,353475,NA,353475,153040
2021-05-18,6,Steiermark,769518,NA,769518,598844
2021-05-18,7,Tirol,428087,NA,428087,101027
2021-05-18,8,Vorarlberg,393373,NA,393373,93981
2021-05-18,9,Wien,1456102,NA,1456102,557710
2021-05-18,10,Österreich,5045305,NA,5045305,3016486
2021-05-19,1,Burgenland,333892,NA,333892,246363
2021-05-19,2,Kärnten,260951,NA,260951,118739
2021-05-19,3,Niederösterreich,585763,NA,585763,723850
2021-05-19,4,Oberösterreich,503449,NA,503449,451583
2021-05-19,5,Salzburg,360674,NA,360674,155690
2021-05-19,6,Steiermark,788700,NA,788700,606963
2021-05-19,7,Tirol,435906,NA,435906,102813
2021-05-19,8,Vorarlberg,400274,NA,400274,95073
2021-05-19,9,Wien,1495218,NA,1495218,567593
2021-05-19,10,Österreich,5164827,NA,5164827,3068667
2021-05-20,1,Burgenland,341461,NA,341461,249598
2021-05-20,2,Kärnten,270285,NA,270285,122182
2021-05-20,3,Niederösterreich,604067,NA,604067,741167
2021-05-20,4,Oberösterreich,519501,NA,519501,461567
2021-05-20,5,Salzburg,370772,NA,370772,159529
2021-05-20,6,Steiermark,815608,NA,815608,620997
2021-05-20,7,Tirol,448075,NA,448075,104944
2021-05-20,8,Vorarlberg,408320,NA,408320,96746
2021-05-20,9,Wien,1550819,NA,1550819,579755
2021-05-20,10,Österreich,5328908,NA,5328908,3136485
2021-05-21,1,Burgenland,348896,NA,348896,252625
2021-05-21,2,Kärnten,278138,NA,278138,122597
2021-05-21,3,Niederösterreich,619825,NA,619825,754762
2021-05-21,4,Oberösterreich,533486,NA,533486,471746
2021-05-21,5,Salzburg,379296,NA,379296,162231
2021-05-21,6,Steiermark,838929,NA,838929,634193
2021-05-21,7,Tirol,457608,NA,457608,107630
2021-05-21,8,Vorarlberg,415547,NA,415547,98168
2021-05-21,9,Wien,1599197,NA,1599197,592419
2021-05-21,10,Österreich,5470922,NA,5470922,3196371
2021-05-22,1,Burgenland,358615,NA,358615,255670
