Datum;Vollständig geimpft;Nicht vollständig geimpft
01.06.2021;7,395993837;43,27259642
02.06.2021;6,56671193;39,94532577
03.06.2021;6,668168921;37,45947356
04.06.2021;5,921957708;35,14687325
05.06.2021;6,049335693;34,6416017
06.06.2021;5,684451713;34,65955094
07.06.2021;4,851686066;34,19934815
08.06.2021;5,057340122;32,45529773
09.06.2021;5,347256571;31,96227312
10.06.2021;4,783430198;30,36295957
11.06.2021;4,48012616;29,39980443
12.06.2021;4,539034827;27,72328659
13.06.2021;4,219530349;24,83986522
14.06.2021;3,695628072;22,72063213
15.06.2021;3,290587041;20,44039264
16.06.2021;2,715915263;19,1068357
17.06.2021;2,509076955;17,67353242
18.06.2021;2,737621986;16,6240514
19.06.2021;2,670714908;15,13543817
20.06.2021;2,321009229;15,32339602
21.06.2021;1,982228659;14,5776737
22.06.2021;1,521753466;13,59183578
23.06.2021;1,549216216;12,36420861
24.06.2021;1,382279863;11,88011752
25.06.2021;1,250814451;11,36516562
26.06.2021;1,336588669;10,69862754
27.06.2021;1,511737018;10,17028862
28.06.2021;1,851994753;10,04051213
29.06.2021;1,971128875;10,17045586
30.06.2021;1,983326832;10,10819996
01.07.2021;2,308381271;10,44412257
02.07.2021;2,372098285;10,3529919
03.07.2021;2,239098055;10,65829457
04.07.2021;2,17382231;10,92698159
05.07.2021;2,5661232;11,45152459
06.07.2021;2,852239721;11,97982263
07.07.2021;2,939290094;13,86224494
08.07.2021;3,216861031;15,60201729
09.07.2021;3,692358483;17,4404635
10.07.2021;4,495738682;19,02857109
11.07.2021;4,915593717;21,36847211
12.07.2021;5,067065276;24,9067114
13.07.2021;5,078785463;28,64208471
14.07.2021;5,930967248;32,25026668
15.07.2021;7,558309333;35,67003123
16.07.2021;8,391997391;40,73742942
17.07.2021;8,897008233;44,36206149
18.07.2021;10,30637136;46,09647981
19.07.2021;11,56752938;47,93588213
20.07.2021;12,70057229;50,35841533
21.07.2021;13,25798555;53,50660472
22.07.2021;13,41785713;55,52220368
23.07.2021;13,82819273;53,22685005
24.07.2021;14,29868047;53,09454403
25.07.2021;13,77384942;55,23316425
26.07.2021;13,11350101;57,51596933
27.07.2021;14,43921806;62,26335998
28.07.2021;15,53621641;64,85644224
29.07.2021;17,07512734;67,39891022
30.07.2021;18,72131164;72,97825324
31.07.2021;19,45486652;75,85690955
01.08.2021;19,66744224;76,71186923
02.08.2021;20,43436756;77,77476714
03.08.2021;20,25375303;78,76270422
04.08.2021;19,68629264;79,138176
05.08.2021;19,98913813;81,60826083
06.08.2021;20,27723694;81,88041299
07.08.2021;21,43179869;84,49155427
08.08.2021;21,74816823;87,50244833
09.08.2021;22,20448318;93,02920262
10.08.2021;24,13020173;100,9519403
11.08.2021;26,52947213;110,0475773
12.08.2021;28,73713062;118,3890304
13.08.2021;30,13636991;126,6483543
14.08.2021;31,45686974;134,5560394
15.08.2021;33,50534972;143,9228774
16.08.2021;35,89625761;153,8075089
17.08.2021;37,63881358;163,7807009
18.08.2021;39,51502327;176,1922785
19.08.2021;38,89706792;187,1393078
20.08.2021;40,04610637;198,1084688
21.08.2021;40,54951684;205,3427997
22.08.2021;41,19698128;213,0506956
23.08.2021;41,19016241;221,6231945
24.08.2021;42,07584794;235,6460017
25.08.2021;41,38762417;242,9547484
26.08.2021;41,18107741;243,5366202
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
