Datum;BundeslandID;Name;BestaetigteFaelleEMS
2021-03-10T08:00:00+01:00;9;Wien;96992
2021-03-10T08:00:00+01:00;10;Österreich;478896
2021-03-11T08:00:00+01:00;1;Burgenland;13490
2021-03-11T08:00:00+01:00;2;Kärnten;30822
2021-03-11T08:00:00+01:00;3;Niederösterreich;78359
2021-03-11T08:00:00+01:00;4;Oberösterreich;89998
2021-03-11T08:00:00+01:00;5;Salzburg;39900
2021-03-11T08:00:00+01:00;6;Steiermark;59088
2021-03-11T08:00:00+01:00;7;Tirol;48874
2021-03-11T08:00:00+01:00;8;Vorarlberg;23558
2021-03-11T08:00:00+01:00;9;Wien;97877
2021-03-11T08:00:00+01:00;10;Österreich;481966
2021-03-12T08:00:00+01:00;1;Burgenland;13602
2021-03-12T08:00:00+01:00;2;Kärnten;31024
2021-03-12T08:00:00+01:00;3;Niederösterreich;78894
2021-03-12T08:00:00+01:00;4;Oberösterreich;90445
2021-03-12T08:00:00+01:00;5;Salzburg;40082
2021-03-12T08:00:00+01:00;6;Steiermark;59379
2021-03-12T08:00:00+01:00;7;Tirol;49029
2021-03-12T08:00:00+01:00;8;Vorarlberg;23608
2021-03-12T08:00:00+01:00;9;Wien;98729
2021-03-12T08:00:00+01:00;10;Österreich;484792
2021-03-13T08:00:00+01:00;1;Burgenland;13633
2021-03-13T08:00:00+01:00;2;Kärnten;31222
2021-03-13T08:00:00+01:00;3;Niederösterreich;79755
2021-03-13T08:00:00+01:00;4;Oberösterreich;90876
2021-03-13T08:00:00+01:00;5;Salzburg;40364
2021-03-13T08:00:00+01:00;6;Steiermark;59798
2021-03-13T08:00:00+01:00;7;Tirol;49204
2021-03-13T08:00:00+01:00;8;Vorarlberg;23644
2021-03-13T08:00:00+01:00;9;Wien;99580
2021-03-13T08:00:00+01:00;10;Österreich;488076
2021-03-14T08:00:00+01:00;1;Burgenland;13722
2021-03-14T08:00:00+01:00;2;Kärnten;31355
2021-03-14T08:00:00+01:00;3;Niederösterreich;80397
2021-03-14T08:00:00+01:00;4;Oberösterreich;91266
2021-03-14T08:00:00+01:00;5;Salzburg;40547
2021-03-14T08:00:00+01:00;6;Steiermark;60096
2021-03-14T08:00:00+01:00;7;Tirol;49421
2021-03-14T08:00:00+01:00;8;Vorarlberg;23673
2021-03-14T08:00:00+01:00;9;Wien;100070
2021-03-14T08:00:00+01:00;10;Österreich;490547
2021-03-15T08:00:00+01:00;1;Burgenland;13844
2021-03-15T08:00:00+01:00;2;Kärnten;31446
2021-03-15T08:00:00+01:00;3;Niederösterreich;80621
2021-03-15T08:00:00+01:00;4;Oberösterreich;91552
2021-03-15T08:00:00+01:00;5;Salzburg;40718
2021-03-15T08:00:00+01:00;6;Steiermark;60344
2021-03-15T08:00:00+01:00;7;Tirol;49585
2021-03-15T08:00:00+01:00;8;Vorarlberg;23705
2021-03-15T08:00:00+01:00;9;Wien;100829
2021-03-15T08:00:00+01:00;10;Österreich;492644
2021-03-16T08:00:00+01:00;1;Burgenland;13943
2021-03-16T08:00:00+01:00;2;Kärnten;31547
2021-03-16T08:00:00+01:00;3;Niederösterreich;81034
2021-03-16T08:00:00+01:00;4;Oberösterreich;91970
2021-03-16T08:00:00+01:00;5;Salzburg;40898
2021-03-16T08:00:00+01:00;6;Steiermark;60666
2021-03-16T08:00:00+01:00;7;Tirol;49829
2021-03-16T08:00:00+01:00;8;Vorarlberg;23732
2021-03-16T08:00:00+01:00;9;Wien;101543
2021-03-16T08:00:00+01:00;10;Österreich;495162
2021-03-17T08:00:00+01:00;1;Burgenland;14077
2021-03-17T08:00:00+01:00;2;Kärnten;31679
2021-03-17T08:00:00+01:00;3;Niederösterreich;81727
2021-03-17T08:00:00+01:00;4;Oberösterreich;92458
2021-03-17T08:00:00+01:00;5;Salzburg;41211
2021-03-17T08:00:00+01:00;6;Steiermark;60856
2021-03-17T08:00:00+01:00;7;Tirol;49984
2021-03-17T08:00:00+01:00;8;Vorarlberg;23763
2021-03-17T08:00:00+01:00;9;Wien;102262
2021-03-17T08:00:00+01:00;10;Österreich;498017
2021-03-18T08:00:00+01:00;1;Burgenland;14181
2021-03-18T08:00:00+01:00;2;Kärnten;31868
2021-03-18T08:00:00+01:00;3;Niederösterreich;82365
2021-03-18T08:00:00+01:00;4;Oberösterreich;92928
2021-03-18T08:00:00+01:00;5;Salzburg;41468
2021-03-18T08:00:00+01:00;6;Steiermark;61232
2021-03-18T08:00:00+01:00;7;Tirol;50210
2021-03-18T08:00:00+01:00;8;Vorarlberg;23810
2021-03-18T08:00:00+01:00;9;Wien;103282
2021-03-18T08:00:00+01:00;10;Österreich;501344
2021-03-19T08:00:00+01:00;1;Burgenland;14289
2021-03-19T08:00:00+01:00;2;Kärnten;32036
2021-03-19T08:00:00+01:00;3;Niederösterreich;83116
2021-03-19T08:00:00+01:00;4;Oberösterreich;93374
2021-03-19T08:00:00+01:00;5;Salzburg;41713
2021-03-19T08:00:00+01:00;6;Steiermark;61694
2021-03-19T08:00:00+01:00;7;Tirol;50395
2021-03-19T08:00:00+01:00;8;Vorarlberg;23851
2021-03-19T08:00:00+01:00;9;Wien;104081
2021-03-19T08:00:00+01:00;10;Österreich;504549
2021-03-20T08:00:00+01:00;1;Burgenland;14449
2021-03-20T08:00:00+01:00;2;Kärnten;32250
2021-03-20T08:00:00+01:00;3;Niederösterreich;84072
2021-03-20T08:00:00+01:00;4;Oberösterreich;93853
2021-03-20T08:00:00+01:00;5;Salzburg;41991
2021-03-20T08:00:00+01:00;6;Steiermark;62198
2021-03-20T08:00:00+01:00;7;Tirol;50874
2021-03-20T08:00:00+01:00;8;Vorarlberg;23898
2021-03-20T08:00:00+01:00;9;Wien;105060
2021-03-20T08:00:00+01:00;10;Österreich;508645
2021-03-21T08:00:00+01:00;1;Burgenland;14471
2021-03-21T08:00:00+01:00;2;Kärnten;32356
2021-03-21T08:00:00+01:00;3;Niederösterreich;84742
2021-03-21T08:00:00+01:00;4;Oberösterreich;94341
2021-03-21T08:00:00+01:00;5;Salzburg;42199
2021-03-21T08:00:00+01:00;6;Steiermark;62480
2021-03-21T08:00:00+01:00;7;Tirol;51075
2021-03-21T08:00:00+01:00;8;Vorarlberg;23927
